movie_id,director
tt1392190,George Miller
tt0052618,William Wyler
tt0118849,Majid Majidi
tt0072684,Stanley Kubrick
tt2024544,Steve McQueen
tt0083658,Ridley Scott
tt0112471,Richard Linklater
tt2278388,Wes Anderson
tt2119532,Mel Gibson
tt0097165,Peter Weir
tt2267998,David Fincher
tt0353969,Bong Joon Ho
tt0107207,Jim Sheridan
tt26548265,Nithilan Saminathan
tt0015864,Charles Chaplin
tt0198781,Pete Docter
tt3011894,Damián Szifron
tt0382932,Brad Bird
tt0892769,Dean DeBlois
tt0077416,Michael Cimino
tt0073195,Steven Spielberg
tt0015324,Buster Keaton
tt0017925,Clyde Bruckman
tt0978762,Adam Elliot
tt0047296,Elia Kazan
tt0046268,Henri-Georges Clouzot
tt1950186,James Mangold
tt0050986,Ingmar Bergman
tt0031679,Frank Capra
tt0041959,Carol Reed
tt3315342,James Mangold
tt0075148,John G. Avildsen
tt0046438,Yasujirô Ozu
tt0118715,Joel Coen
tt0050976,Ingmar Bergman
tt1895587,Tom McCarthy
tt3170832,Lenny Abrahamson
tt0088247,James Cameron
tt0395169,Terry George
tt0091763,Oliver Stone
tt0325980,Gore Verbinski
tt0113247,Mathieu Kassovitz
tt15097216,T.J. Gnanavel
tt0381681,Richard Linklater
tt0019254,Carl Theodor Dreyer
tt0036868,William Wyler
tt0070047,William Friedkin
tt1979320,Ron Howard
tt0317705,Brad Bird
tt0032138,Victor Fleming
tt0074958,Sidney Lumet
tt0049902,Robert Bresson
tt0092005,Rob Reiner
tt1028532,Lasse Hallström
tt0059742,Robert Wise
tt0476735,Çagan Irmak
tt0035446,Ernst Lubitsch
tt4016934,Park Chan-wook
tt0758758,Sean Penn
tt0058946,Gillo Pontecorvo
tt0129167,Brad Bird
tt0032551,John Ford
tt0107048,Harold Ramis
tt0245712,Alejandro G. Iñárritu
tt0032976,Alfred Hitchcock
tt1454029,Tate Taylor
tt0061512,Stuart Rosenberg
tt5323662,Taichi Ishidate
tt4430212,Nishikant Kamat
