movie_id,actor
tt0120737,Andy Serkis
tt0120737,Steve Roche
tt0120737,Chris O'Connor
tt0120737,Orlando Bloom
tt0120737,Sean Bean
tt0120737,Ian Holm
tt0120737,Gandalf
tt0060196,Benito Stefanelli
tt0060196,John Bartha
tt0060196,Sandro Scarchilli
tt0060196,Lee Van Cleef
tt0060196,Sergio Mendizábal
tt0060196,Antonio Casale
tt0060196,Luigi Pistilli
tt0060196,Al Mulock
tt0060196,Enzo Petito
tt0060196,Claudio Scarchilli
tt0060196,Aldo Sambrell
tt0060196,Aldo Giuffrè
tt0060196,Livio Lorenzon
tt0060196,Luciano Vincenzoni
tt0060196,Sergio Leone
tt0060196,Agenore Incrocci
tt0060196,Tommie Connor
tt0060196,Rada Rassimov
tt0060196,Eli Wallach
tt0060196,Antonio Casas
tt0060196,Angelo Novi
tt0060196,Blondie
tt0060196,Clint Eastwood
tt0109830,Gary Sinise
tt0109830,Forrest Gump
tt0109830,Winston Groom
tt0109830,Ione M. Telech
tt0109830,John Worsham
tt0109830,Rebecca Williams
tt0109830,Tom Hanks
tt0109830,Peter Dobson
tt0109830,Harold G. Herthum
tt0109830,Hank Williams
tt0109830,Robin Wright
tt0109830,Margo Moorer
tt0109830,Michael Conner Humphreys
tt0109830,Bob Penny
tt0109830,Eric Roth
tt0109830,Christine Seabrook
tt0109830,John Randall
tt0109830,Cliff Friend
tt0109830,Irving Mills
tt0109830,Sally Field
tt0109830,Jenny Curran
tt0109830,Siobhan Fallon Hogan
tt0109830,George Kelly
tt0109830,Sam Anderson
tt0109830,Robert Zemeckis
tt0109830,Alexander Zemeckis
tt0167261,Billy Boyd
tt0167261,Sean Astin
tt0167261,Emiliana Torrini
tt0167261,John Bach
tt0167261,Brad Dourif
tt0167261,Sam
tt0167261,Jed Brophy
tt0167261,Viggo Mortensen
tt0167261,Peter Jackson
tt0167261,Bruce Hopkins
tt0167261,Cate Blanchett
tt0167261,Bruce Allpress
tt0167261,J.R.R. Tolkien
tt0167261,Philippa Boyens
tt0167261,Elijah Wood
tt0167261,Paris Howe Strewe
tt0167261,Fran Walsh
tt0167261,Howard Shore
tt0167261,Ian McKellen
tt0167261,Sala Baker
tt0167261,Frodo
tt0167261,Christopher Lee
tt0167261,Sam Comery
tt0167261,Calum Gittins
tt0167261,Bernard Hill
tt0167261,Orlando Bloom
tt0137523,Chuck Palahniuk
tt0137523,Helena Bonham Carter
tt0137523,Holt McCallany
tt0137523,Charlie Dell
tt0137523,Meat Loaf
tt0137523,Eugenie Bondurant
tt0137523,Bob Stephenson
tt0137523,Richmond Arquette
tt0137523,Dierdre Downing-Jackson
tt0137523,Christina Cabot
tt0137523,David Fincher
tt0137523,Edward Norton
tt0137523,Tim DeZarn
tt0137523,Ezra Buzzington
tt0137523,David Andrews
tt0137523,Christie Cronenweth
tt0137523,Matt Winston
tt0137523,George Maguire
tt0137523,Brad Pitt
tt0137523,Tyler Durden
tt0137523,Jim Uhls
tt0137523,Rachel Singer
tt0137523,Rolfe Kent
tt0137523,Zach Grenier
tt0137523,Sydney 'Big Dawg' Colston
tt1375666,Hans Zimmer
tt1375666,Cillian Murphy
tt1375666,Charles Dumont
tt1375666,Joseph Gordon-Levitt
tt1375666,Christopher Nolan
tt1375666,Marion Cotillard
tt1375666,Johnathan Geare
tt1375666,Dileep Rao
tt1375666,Michael Caine
tt1375666,Lukas Haas
tt1375666,Magnus Nolan
tt1375666,Michel Vaucaire
tt1375666,Tom Hardy
tt1375666,Elliot Page
tt1375666,Ken Watanabe
tt1375666,Claire Geare
tt1375666,Édith Piaf
tt1375666,Pete Postlethwaite
tt1375666,Taylor Geare
tt1375666,Tom Berenger
tt1375666,Cobb
tt1375666,Leonardo DiCaprio
tt1375666,Tai-Li Lee
tt1375666,Tohoru Masamune
tt0080684,Irvin Kershner
tt0080684,John Hollis
tt0080684,Billy Dee Williams
tt0080684,Leigh Brackett
tt0080684,Clive Revill
