movie_id,rating,rating_count
tt0111161,9.3,2966670
tt0068646,9.2,2068926
tt0468569,9,2948228
tt0071562,9,1397076
tt0050083,9,894620
tt0167260,9,2030961
tt0108052,9,1487709
tt0110912,8.9,2277860
tt0120737,8.9,2060540
tt0060196,8.8,831483
tt0109830,8.8,2321632
tt0167261,8.8,1830979
tt0137523,8.8,2397880
tt1375666,8.8,2616082
tt0080684,8.7,1411220
tt0133093,8.7,2105904
tt0099685,8.7,1291799
tt0073486,8.7,1094528
tt0816692,8.7,2202742
tt0114369,8.6,1854387
tt0038650,8.6,509995
tt0047478,8.6,375506
tt0102926,8.6,1593161
tt0120815,8.6,1534152
tt0317248,8.6,819578
tt0120689,8.6,1447143
tt0118799,8.6,760206
tt0103064,8.6,1204456
tt0076759,8.6,1479925
tt0088763,8.5,1344119
tt0245429,8.6,880621
tt0253474,8.5,940363
tt6751668,8.5,1009469
tt0172495,8.5,1684413
tt0054215,8.5,736972
tt0110357,8.5,1173175
tt0407887,8.5,1454736
tt9362722,8.6,417329
tt0095327,8.5,329278
tt2582802,8.5,1031738
tt0120586,8.5,1210019
tt0110413,8.5,1275967
tt0482571,8.5,1478194
tt0056058,8.6,73970
tt0034583,8.5,618775
tt0114814,8.5,1167469
tt1675434,8.5,953795
tt0095765,8.5,291438
tt15239678,8.5,547290
tt0027977,8.5,266002
tt0078748,8.5,991234
tt0047396,8.5,534880
tt0064116,8.5,357135
tt1853728,8.5,1743048
tt0021749,8.5,201232
tt0078788,8.4,726114
tt0209144,8.4,1350885
tt0910970,8.4,1231814
tt0082971,8.4,1055235
tt0405094,8.4,418933
tt23849204,8.8,134705
tt0043014,8.4,242732
tt4154756,8.4,1246097
tt4633694,8.4,701901
tt0050825,8.4,219825
tt0051201,8.4,143156
tt0081505,8.4,1139797
tt0032553,8.4,243030
tt0090605,8.4,791995
tt0361748,8.4,1631647
tt1345836,8.4,1873079
tt2380307,8.4,622537
tt0086879,8.4,438495
tt0114709,8.3,1096232
tt0057012,8.3,529265
tt0364569,8.3,657131
tt0169547,8.3,1230555
tt4154796,8.4,1312262
tt0082096,8.4,270296
tt0119217,8.3,1103693
tt0112573,8.3,1110770
tt0119698,8.3,446918
tt5311514,8.4,339183
tt0057565,8.4,56420
tt7286456,8.4,1562239
tt1187043,8.4,446939
tt0087843,8.3,386165
tt0045152,8.3,266805
tt8267604,8.4,110953
tt0091251,8.3,104053
tt0180093,8.3,920022
tt0435761,8.3,912190
tt0086190,8.3,1143999
tt2106476,8.3,375895
tt0338013,8.3,1106994
tt0044741,8.3,91457
tt0062622,8.3,736922
tt0105236,8.3,1112110
tt0056172,8.3,322208
tt0053604,8.3,202127
tt1255953,8.3,213948
tt0086250,8.3,941123
tt0053125,8.3,353285
tt0036775,8.3,171148
tt0033467,8.3,474081
tt0022100,8.3,172996
tt0052357,8.3,436905
tt0113277,8.3,737167
tt0093058,8.2,807257
tt15398776,8.3,817572
tt1049413,8.3,1154562
tt0211915,8.3,807088
tt0066921,8.2,897138
tt0056592,8.3,338442
tt1832382,8.3,264149
tt0070735,8.3,285019
tt0095016,8.2,964160
tt0097576,8.2,824807
tt0986264,8.3,212225
tt0017136,8.3,190145
tt0208092,8.2,928730
tt8579674,8.2,703859
tt0119488,8.2,630868
tt0040522,8.3,179546
tt0363163,8.2,381808
tt0075314,8.2,951370
tt8503618,8.3,120649
tt5074352,8.3,218301
tt0993846,8.2,1635646
tt0372784,8.2,1614256
tt0059578,8.2,281629
tt6966692,8.2,605442
tt0053291,8.2,288729
tt0120382,8.2,1238986
tt0055031,8.3,87904
tt0012349,8.2,137977
tt10272386,8.2,203324
tt1130884,8.2,1505665
tt0042192,8.2,141509
tt0469494,8.2,655600
tt0107290,8.2,1093811
tt0112641,8.2,578010
tt1745960,8.2,740945
tt0167404,8.2,1077471
tt0089881,8.2,139577
tt0457430,8.2,714224
tt0477348,8.2,1091338
tt0105695,8.2,444591
tt0084787,8.2,484043
tt0268978,8.2,1005309
tt0266697,8.2,1223813
tt0040897,8.2,134713
tt29623480,8.3,82393
tt0055630,8.2,134426
tt1392214,8.2,841183
tt0057115,8.2,263589
tt0266543,8.2,1137133
tt0071853,8.2,579325
tt0347149,8.2,467176
tt0080678,8.2,264099
tt0042876,8.2,185099
tt0046912,8.2,193421
tt0031381,8.2,340059
tt0071315,8.1,357890
tt1305806,8.2,227243
tt0120735,8.1,626244
tt2096673,8.1,840616
tt0434409,8.1,1198165
